,proverb,meaning,example
126,اره و ارواره,( اجر پاره )کسی که امتحان خود را پس داده و شناخته شده و رو سفید است، دیگر احتیاجی نیست دوباره ازموده شود.,
127,اره و اوره و شمسی کوره,"عبارت ، که در زبان کوچه و بازار زیاد شنیده می شود و مدتها است در وبلاگ های فارسی هم رواج دارد، معادل «تام، دیک، هری» در زبان انگلیسی و مترادف «همه» است. معادل دیگر این عبارت در زبان انگلیسی، ""All the world and his wife"" است. - فلانی همه را با خودش اورده بود. کم مانده بود  را هم بیاورد. تعبیر فوق در زبانهای زیادی موجود است و در خیلی از کشورها به نوعی شنیده می شود.  کنایه از جمیع افرادی است که از صدر تا ذیل یک خانواده پرجمعیت را تشکیل دهند. وقتی که همه افراد یک خانواده، از کوچک و بزرگ برای رفتن به جایی ( مثلا به ضیافتی ) راه می افتند، برای نشان دادن این حقیقت که به همراه بردن همه این عده به خانه کسی نه لازم و نه اخلاقا کار درستی است، بدین کنایه توسل می جویند: « به دنبال هم راه افتاده اند طرف خانه مردم…»«» معادل «هینس - کونس» در زبان المانی، «پینکو پالینو» در زبان ایتالیایی، «پی یق، ژان، ژاک» در زبان فرانسوی، «کل من هب و دب» در زبان عربی، «پدرو، پاکو، خوان» در اسپانیایی، «ان درسون، په ترسون، اولمستره م» به زبان سوئدی و «کاژدی، فسترچ نی، ای پاپه رچنی» در زبان روسی است. در زبان فارسی، ، به افراد جورواجور و متعددی اشاره دارد که هرکدام خود را صاحب نقش دیده، دخالت های بیجا می کنند و گاه در مهمانی ها سروصدا راه می اندازند.  گاهی به شخص سوم هم اشاره دارد و معادل «ننه قمر» است و کاربردش مثل Tom, _Dick_and_Harry در زبان انگلیسی است. تعبیر فوق در ترجمه فارسی کتاب «جایی که پیاده رو تموم میشه» اثر شل سیلورستاین در شعر «توی اون کیسه چیه؟» ( به معنی اشیاء گوناگون ) ، به کار رفته است. تصویر کتاب، مردی را نشان می دهد که یک کیسه بزرگ به دوش گرفته است. توی اون کیسه چیه؟ قارچ توشه یا ماه توشه؟ نامه های عاشقانه است یا پر غاز توشه؟ شاید هم بزرگترین بادکنک دنیا توشه؟ توی اون کیسه چیه؟ این را همه ش ازم می پرسن همه کس سنگ مرمره یا کتابه، یا ذرت بوداده است؟. . . مگه هیچ وقت کسی ازم می پرسه: «ببینم روز تولدت کیه؟». . . نه، تنها چیزی که مهمه اینه که بدونن اون کیسه چی توشه پاره سنگ گوله شده یا زرافه لوله شده؟ «اخه چی توشه؟: اره، اوره، شمسی کوره؟. . .wiki:   (ابهام زدایی).   در زبان عامیانه مترادف «همه» است.  همچنین ممکن است به یکی از موارد زیر اشاره داشته باشد:•  ( فیلم ۱۹۴۱ ) •  ( فیلم ۲۰۰۶ )wiki:  (ابهام زدایی)گزارش تخلف یا اشتباه در معنی",
128,از اب در امدن,) (ا. د. م د ) (مص ل . ) نتیجه دادن ، مشخص شدن نتیجة نهایی کار یا عملی .,
129,از اب گل الود ماهی گرفتن,از اوضاع اشفته بهره برداری یا سوءاستفاده کردن,مردم را به جان یکدیگر می اندازند و از اب گل الود ماهی می گیرند.
130,از اب کره گرفتن,خست و حسابگری بیش از حد، از هرکه و هر چه کمترین چیز استفاده بردن و طرف نظر نکردن.,
131,از اب کره یا روغن گرفتن,بسیار زرنگ یا زیرک بودن؛ با زیرکی در هر موقعیتی سود بردن,حاجی از بچگی پیش دکاندارها و تاجرهای متعددی پادویی کرده و همه ی فوت وفن کاسبی را یاد گرفته بود... معروف بود که از اب کره می گیرد.
132,از ابروش سرکه می ریزد,به ادم اخمو و بد اخلاق و ترش رو گویند.,
133,از اسب افتاده از نسل که نیفتاده,!هستی و سرمایه اش از دست رفته، شخصیت و اصالتش که از بین نرفته.,
134,از اسمان به زمین می بارد,توانگران به نیازمندان چیزی عطا می کنند نه نیازمندان به ثروتمندان.,
135,از ان نترس که های و هوی دارد از اون بترس که سر به تو دارد,کسانی که در ظاهر شلوغ و پر شر و شور هستند همه چیز خود را عیان می کنند اما کسانی که ساکت و بی صدا و به نظر بی ازار هستند و چه بسا خطرناکند.,
136,از اون ماست کل عباس چشام دید و دلم خواست,هوسبازی که هر چه بیند، دلش بخواهد.,
137,از این حسن تا ان حسن صدگز رسن,اشاره به دو چیز ظاهرا مشابه که از نظر ارزش و مقام تفاوت زیادی با هم داشته باشند.,
138,از این ستون تا به ان ستون فرج است,گذشت زمان ممکن است موجب گشایش در کار شود.,
139,از این شاخ به ان شاخ پریدن یا از این شاخه به ان شاخه پریدن,1- در حرف زدن موضوع معینی را پیگیری نکردن؛ پیوسته به موضوع های گوناگون گریز زدن 2- در کاری پیگیری نداشتن,1- من که از درس این استاد چیزی نمی فهمم، دایم از این شاخه به اون شاخه می پره و هیچ وقت یک موضوع رو تا اخر دنبال نمی کنه.  2- تو باید یک رشته ی معین را انتخاب کنی و ادامه بدهی تا در ان تخصص پیدا کنی. با از این شاخ به ان شاخ پریدن فقط عمرت را تلف می کنی. توضیح: همچنین ← «این شاخ و ان شاخ کردن»
140,از این شاخه به ان شاخه پریدن,حرف یا کاری را با حوصله تمام نکردن و دائما موضوعی به موضوع دیگر یا کاری به کار دیگر پرداختن. ناقص انجام دادن کارها.,
141,از این گوش می گیره از اون گوش در می کنه,شنونده ای که به حرف یا نصیحتی بی اعتنا باشد، گویی که نشنیده باشد.,
142,از اینجا رانده و از انجا مانده,همه ی امکان های موجود را از دست داده؛ از هر جهت زیان دیده,می خواست هیچ کدامشان را از دست ندهد و با هردو لاس می زد، اما حالا  است.
143,از اینجا مانده و از انجا رانده,از دو طرف محروم یا نا امید. سرگردان.,
144,از بام می خواند از در می راند,رفتار دوگانه، دو نوع حرف زدن.,
145,از بای بسم الله تا تای تمت,از ابتدا تا انتها، با دقت و کامل.,
146,از بی کفنی زنده است,انقدر مفلس و بیچاره است که حتی پول کفنش را هم ندارد.,
147,از بیخ عرب بودن یا شدن,به کلی بی اطلاع بودن؛ از موضوع موردبحث چیزی ندانستن,"- از حق نگذریم، از پررویی چیزی کم ندارد، اما در این کار از بیخ عرب است.  - راستش را بخواهی، من در کارهای کامپیوتری از بیخ عربم. توضیح: در دوران پس از اسلام، خط و زبان عربی کم کم در کارهای دیوانی حکومت های ایرانی جایگزین خط و زبان فارسی شد و حتا برخی از بزرگان دانش و ادب نیز کتاب ها و رساله های خود را به عربی نوشتند. اما مردم خراسان که به فرهنگ و ادب پارسی دل بستگی داشتند، درباره ی هرایرانی که به عربی سخن می گفت یا می نوشت، به کنایه می گفتند: ""از بیخ عرب شده است""، یعنی ایرانی بودن خود را فراموش کرده و یکسره عرب شده است."
